,French,English
0,histoire,history
1,chercher,search
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,frère,brother
9,laisser,let
10,car,because
11,mettre,to put
12,aucun,no
13,laisse,leash
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
21,longtemps,long time
22,heures,hours
23,vont,will
24,pendant,while
25,revoir,meet again
26,aucune,any
27,place,square
28,parle,speak
29,compris,understood
30,étaient,were
31,attention,Warning
32,voici,here is
33,pourrais,could
34,affaire,case
35,donner,give
36,type,type
37,leurs,their
38,donné,given
39,train,train
40,corps,body
41,endroit,place
42,façon,way
43,écoute,listen
44,dont,whose
45,trouve,find
46,premier,first
47,perdu,lost
48,main,hand
49,première,first
50,côté,side
51,pouvoir,power
52,vieux,old
53,sois,be
54,tiens,here
55,matin,morning
56,tellement,so much
57,enfant,child
58,point,point
59,venu,came
60,suite,after
61,pardon,sorry
62,venez,come
63,devant,in front of
64,vers,towards
65,minutes,minutes
66,demandé,request
67,mis,placed
68,belle,beautiful
69,aimerais,would like to
70,aujourd'hui,today
71,mari,husband
72,cause,cause
73,enfin,finally
74,espère,hope
75,eau,water
76,attendez,Wait
77,parti,left
78,nouvelle,new
79,boulot,job
80,arrêter,Stop
81,dirait,would say
82,terre,Earth
83,compte,account
84,donne,given
85,loin,far
86,fin,end
87,croire,believe
88,chérie,sweetheart
89,plutôt,rather
90,aura,will have
91,filles,girls
92,jouer,to play
93,bureau,office
